pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
0,0.96,#070c08,0.02,#393a35,0.01,#2e2d25,0.0,#616765,0.0,#292720,0.0,#51504b,0.0,#262a26,0.0,#515551
1,0.97,#070c09,0.02,#3a3b36,0.01,#2e2d24,0.0,#6c6c61,0.0,#615d4c,0.0,#282a26,0.0,#282d2b,0.0,#2b2820
2,0.97,#070c08,0.02,#383a35,0.0,#2c2c26,0.0,#646761,0.0,#282822,0.0,#252a27,0.0,#524d43,0.0,#5a594e
3,0.95,#080c0a,0.03,#3b3c37,0.01,#2a2b26,0.0,#2f2d25,0.0,#2a2d2b,0.0,#6e6e67,0.0,#625c4c,0.0,#555a59
4,0.91,#070b09,0.04,#393933,0.02,#2d2c25,0.01,#292720,0.0,#616564,0.0,#524f47,0.0,#605b4f,0.0,#252a27
5,0.81,#13150f,0.16,#51483a,0.01,#35352d,0.01,#82765e,0.01,#31302a,0.0,#3c3426,0.0,#636057,0.0,#373327
6,0.98,#080d0a,0.02,#383a36,0.0,#2a2b27,0.0,#626766,0.0,#282823,0.0,#262a27,0.0,#262b2a,0.0,#505652
7,0.92,#030806,0.05,#222421,0.01,#3b3c39,0.01,#1b1c16,0.01,#171a16,0.0,#161b1a,0.0,#35352e,0.0,#32312d
8,0.95,#0b0f0c,0.03,#434541,0.01,#34332b,0.01,#6d716b,0.0,#2f2e28,0.0,#6d695a,0.0,#605c4e,0.0,#2d3230
9,0.97,#050907,0.02,#3f423f,0.0,#31322a,0.0,#666b6a,0.0,#2d2c26,0.0,#2a2f2c,0.0,#2b302f,0.0,#5c594a
10,0.95,#090d0b,0.03,#3f403c,0.01,#32312b,0.01,#2d2c26,0.0,#6a6d68,0.0,#676351,0.0,#5e5949,0.0,#2b302f
11,0.93,#0a0e0b,0.04,#41423c,0.01,#33322a,0.01,#6d6e68,0.0,#2e2d26,0.0,#5d594e,0.0,#2b2f2c,0.0,#676458
12,0.88,#090d0a,0.05,#45433b,0.04,#38352c,0.02,#322f27,0.0,#717470,0.0,#2e3331,0.0,#2e322e,0.0,#635f57
13,0.88,#0a0e0b,0.06,#43423a,0.04,#37342b,0.01,#322f26,0.0,#717470,0.0,#2f312a,0.0,#6f6a5a,0.0,#2e3231
14,0.97,#050907,0.02,#3c3f3c,0.0,#30312b,0.0,#656a69,0.0,#2d2c27,0.0,#2a2f2d,0.0,#58574f,0.0,#2a302f
15,0.96,#070b09,0.03,#3c3e3c,0.0,#30302a,0.0,#656b6a,0.0,#2e2d27,0.0,#2a2f2e,0.0,#2b2f2b,0.0,#575d5c
16,0.97,#050a08,0.02,#3d403d,0.0,#676b68,0.0,#31312b,0.0,#2d2c27,0.0,#2b2f2b,0.0,#5d5a52,0.0,#676256
17,0.97,#080d0a,0.02,#3c3f3c,0.0,#30302b,0.0,#666b6a,0.0,#2d2d28,0.0,#2b2f2c,0.0,#2b302f,0.0,#5a605c
18,0.93,#080d0a,0.04,#454744,0.01,#6d7270,0.01,#31302a,0.01,#35342e,0.0,#2d3330,0.0,#6b6a5f,0.0,#63635b
19,0.92,#0e110e,0.04,#444743,0.02,#36342d,0.02,#312f28,0.01,#717470,0.0,#6c685b,0.0,#655e4f,0.0,#2d3230
20,0.95,#0a0e0c,0.04,#434643,0.01,#6b706f,0.0,#35352e,0.0,#31302a,0.0,#2e3332,0.0,#5f6462,0.0,#2e3330
21,0.96,#050a07,0.03,#464946,0.01,#6c7270,0.0,#36362c,0.0,#31302a,0.0,#706e5c,0.0,#636055,0.0,#2e3332
22,0.95,#0a0e0b,0.04,#444744,0.01,#6b7170,0.0,#35352e,0.0,#31302b,0.0,#2e3332,0.0,#6b6959,0.0,#2e3330
23,0.96,#050a08,0.03,#444845,0.01,#6b716f,0.0,#36352d,0.0,#312f2a,0.0,#2d3230,0.0,#2e3332,0.0,#5f6462
24,0.93,#090e0b,0.05,#444745,0.01,#6c7271,0.0,#34352f,0.0,#30302c,0.0,#2d3330,0.0,#2e3433,0.0,#606663
25,0.93,#0d110e,0.05,#454744,0.01,#6d7270,0.01,#35352e,0.0,#313029,0.0,#646054,0.0,#6b695b,0.0,#2e3332
26,0.95,#0b100c,0.03,#484b47,0.0,#323635,0.0,#7f7f76,0.0,#636968,0.0,#32332e,0.0,#39372d,0.0,#746f5c
27,0.79,#0f120d,0.13,#514a3e,0.05,#3f392c,0.01,#363024,0.01,#7e7e76,0.0,#313635,0.0,#636967,0.0,#716858
28,0.94,#040907,0.04,#292a25,0.01,#474641,0.0,#202018,0.0,#1b1f1d,0.0,#1a1e19,0.0,#3d3d35,0.0,#3a3c39
29,0.95,#070c0a,0.04,#404340,0.01,#686e6c,0.0,#32322c,0.0,#2f2f28,0.0,#2d3230,0.0,#5c6260,0.0,#2c312d
30,0.95,#070b08,0.03,#434440,0.01,#696e6a,0.01,#34332a,0.0,#2f2c24,0.0,#6d6652,0.0,#605849,0.0,#2b2f2c
31,0.95,#090d0b,0.04,#3d403e,0.01,#676d6b,0.0,#30312c,0.0,#2f2d28,0.0,#2c3130,0.0,#5a605e,0.0,#2c302d
32,0.94,#0a0e0b,0.04,#41433f,0.01,#31322b,0.01,#676d6c,0.0,#2f2d27,0.0,#2c312f,0.0,#5a5f5e,0.0,#2c302c
33,0.95,#090d0b,0.03,#424542,0.01,#6b706e,0.0,#35342d,0.0,#312f29,0.0,#6e6b5a,0.0,#625e56,0.0,#2e322d
34,0.93,#0c100c,0.04,#474843,0.01,#39362c,0.01,#71746f,0.01,#332f25,0.0,#6a675b,0.0,#646153,0.0,#2f322e
35,0.95,#070c09,0.03,#434541,0.01,#36332b,0.01,#6a6e6a,0.01,#2f2d25,0.0,#5e5a4f,0.0,#5f605a,0.0,#2b302e
36,0.95,#060b09,0.03,#40423f,0.01,#666c6a,0.0,#2e2d27,0.0,#31322b,0.0,#5a5a50,0.0,#2b302f,0.0,#2a302d
37,0.96,#060b09,0.03,#414542,0.01,#686e6c,0.0,#32332c,0.0,#6b6756,0.0,#5f5b4e,0.0,#2e2d27,0.0,#2c3130
38,0.91,#0b0f0c,0.05,#40413c,0.02,#33322a,0.01,#2e2c25,0.01,#666c6a,0.0,#6a6555,0.0,#5e5948,0.0,#2a2f2c
39,0.99,#171916,0.01,#6b6e6c,0.0,#e5e9ec,0.0,#575751,0.0,#505759,0.0,#4d5355,0.0,#525550,0.0,#55534d
40,0.98,#181916,0.01,#6d706c,0.01,#5d5747,0.0,#575141,0.0,#e5e9eb,0.0,#50575a,0.0,#4d5356,0.0,#a6abb7
41,0.92,#191a16,0.03,#747062,0.03,#625c4c,0.01,#575143,0.0,#e5e9eb,0.0,#50575a,0.0,#4d5355,0.0,#9ca1ae
