pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
0,0.68,#1e1209,0.11,#dad8a3,0.09,#80632f,0.06,#60411e,0.05,#bfb277,0.02,#a8945b,0.01,#937e4b,0.0,#9e8343
1,0.7,#1a1008,0.12,#bfb479,0.11,#d7d5a2,0.02,#a9985d,0.02,#796336,0.02,#928150,0.02,#5c4221,,
2,0.88,#201810,0.06,#563b26,0.03,#75562d,0.02,#6e5e55,0.0,#bbb0a3,0.0,#9e7a3a,0.0,#a48457,0.0,#ac9e76
3,0.89,#1e160e,0.07,#52351c,0.02,#6f5026,0.01,#685750,0.0,#b3a497,0.0,#58394a,0.0,#97742f,0.0,#ad945d
4,0.91,#1e1610,0.04,#61422b,0.02,#7a6436,0.02,#86735f,0.0,#cfc374,0.0,#e0ddb2,0.0,#b39a26,0.0,#464553
5,0.91,#1e1610,0.04,#60442c,0.02,#7a6537,0.02,#85735f,0.0,#d0c474,0.0,#e4e0b2,0.0,#b49c27,0.0,#474654
6,0.9,#1b140e,0.03,#60442a,0.03,#7e682d,0.01,#84755b,0.01,#b49c18,0.01,#c3b133,0.01,#d1c368,0.0,#e6e2b0
7,0.9,#17120d,0.03,#614627,0.03,#7e682c,0.01,#84785e,0.01,#d3c76c,0.01,#c7b532,0.01,#b39c22,0.0,#e7e4b5
8,0.9,#19130e,0.03,#5f4529,0.03,#7c662d,0.01,#7d705c,0.01,#d4c86a,0.01,#c9b736,0.01,#b39b1b,0.0,#e7e3b3
9,0.91,#1b1510,0.03,#604529,0.03,#7c652d,0.01,#7f735f,0.01,#cfc36d,0.0,#e0ddb0,0.0,#c8b637,0.0,#b39b22
10,0.91,#1b1511,0.03,#60462a,0.02,#7d662f,0.02,#80725f,0.01,#d5c96f,0.0,#dedbb1,0.0,#b39b24,0.0,#c8b636
11,0.92,#1b1611,0.03,#60462b,0.02,#7e682e,0.01,#82745f,0.01,#d4d2ae,0.01,#cfc36f,0.0,#b29a27,0.0,#c9b638
12,0.92,#1b1611,0.03,#7d6631,0.03,#61442b,0.01,#827463,0.01,#d1c575,0.01,#d9d5b0,0.0,#b39c26,0.0,#c6b439
13,0.92,#1d1812,0.02,#604329,0.02,#7c6631,0.01,#807565,0.01,#d0c475,0.0,#d8d5af,0.0,#b29a29,0.0,#c5b237
14,0.91,#1e1813,0.03,#5f442a,0.02,#7d6631,0.02,#837866,0.01,#cfceae,0.01,#ccc175,0.0,#b29a29,0.0,#ad9e80
15,0.91,#1e1913,0.03,#60452b,0.02,#7f6632,0.02,#857663,0.01,#d0d1b1,0.01,#ccc17a,0.0,#b09a77,0.0,#b29b2c
16,0.92,#1f1913,0.03,#60442b,0.02,#7d6631,0.02,#807260,0.01,#d1d0ae,0.0,#d0c372,0.0,#b29a75,0.0,#b19b30
17,0.81,#1e130d,0.08,#624524,0.05,#826638,0.03,#957f54,0.02,#b49c64,0.02,#e1d6a7,0.01,#c8b67d,0.0,#afa38d
18,0.81,#1e130d,0.08,#614528,0.05,#83673d,0.02,#957f59,0.02,#b49d69,0.02,#e6d9af,0.01,#cbb884,0.0,#ad9247
19,0.88,#22170e,0.04,#84725c,0.03,#5f3f2d,0.02,#c1bfa1,0.01,#7d6426,0.01,#ae8c74,0.0,#d0c15f,0.0,#ab9f87
20,0.88,#23180f,0.05,#7e715c,0.03,#5a442e,0.02,#c0bda0,0.01,#74602c,0.0,#5c4d45,0.0,#a89f89,0.0,#9f9b84
21,0.88,#21170e,0.05,#7f745e,0.04,#5b4230,0.02,#bbb797,0.01,#715e30,0.0,#454546,0.0,#5b4c45,0.0,#cec066
22,0.9,#1e160e,0.05,#7b6f5d,0.03,#5a4532,0.01,#705d2d,0.01,#b5b395,0.0,#d7c963,0.0,#9b9988,0.0,#5b4b47
23,0.9,#231309,0.05,#632e1c,0.02,#825d30,0.02,#876b4c,0.01,#a3854a,0.0,#b49e5d,0.0,#c1b08e,0.0,#a48f7d
24,0.88,#211209,0.07,#512f1d,0.02,#765844,0.01,#61442c,0.01,#b09f83,0.01,#93725a,0.0,#998563,0.0,#633c37
25,0.9,#23130a,0.05,#5d3724,0.02,#846c54,0.01,#70553a,0.01,#c7be9d,0.01,#a58a6e,0.0,#aea07c,0.0,#664943
