pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
0,0.48,#171917,0.18,#a5a8a8,0.18,#66696f,0.09,#7d828d,0.03,#41535a,0.02,#38434d,0.02,#8f8991,0.01,#849299
1,0.53,#161816,0.17,#63686e,0.14,#a3a7a7,0.08,#7a808c,0.03,#36434c,0.02,#8c8991,0.02,#3f535d,0.01,#81939c
2,0.56,#151716,0.16,#a8aaa9,0.16,#61666d,0.06,#7b808d,0.02,#3e4d54,0.02,#313d4a,0.01,#838f96,0.01,#8c8790
3,0.61,#151716,0.14,#61676c,0.13,#aaadab,0.05,#7c828d,0.02,#3f4e55,0.02,#323e4c,0.01,#869197,0.0,#585238
4,0.65,#151716,0.13,#afb1ad,0.12,#62686b,0.04,#7b848f,0.02,#34404c,0.02,#405158,0.01,#87989d,0.01,#605836
5,0.62,#161716,0.16,#abaeab,0.13,#636568,0.04,#79818d,0.02,#3e5056,0.01,#344049,0.01,#918a90,0.01,#82979d
6,0.6,#161716,0.17,#adb2ae,0.14,#61666a,0.03,#788290,0.02,#3e4f55,0.01,#35404a,0.01,#8397a0,0.01,#544f39
7,0.6,#161816,0.15,#a9abab,0.13,#63676d,0.05,#7d8290,0.03,#425056,0.02,#3b454b,0.01,#918a93,0.01,#85949f
8,0.29,#73879f,0.17,#2b2c2e,0.14,#3f5e7d,0.13,#97a9b4,0.11,#394a65,0.08,#879cae,0.08,#676c7b,0.01,#426f92
9,0.3,#6b809a,0.18,#2a2b2c,0.17,#92a5b2,0.11,#416180,0.08,#5c6a80,0.08,#36455e,0.06,#8196ab,0.02,#406d90
10,0.42,#6e819b,0.19,#272828,0.11,#94a8b5,0.08,#426182,0.07,#626c83,0.07,#36445d,0.04,#8499ad,0.02,#456d8f
11,0.45,#6e809b,0.18,#2a2b2b,0.11,#94a8b4,0.07,#35425a,0.06,#61697d,0.06,#8497ab,0.04,#426b8f,0.04,#415e7c
12,0.41,#70839d,0.18,#2e3031,0.13,#94a7b4,0.08,#8598ac,0.07,#37455d,0.06,#686e82,0.04,#456280,0.04,#456f91
13,0.58,#1c1f19,0.32,#a8aeb3,0.05,#616266,0.02,#35404a,0.01,#3c4952,0.01,#798190,0.0,#80919b,0.0,#474038
14,0.65,#1d1f19,0.28,#a7adb4,0.04,#5f6065,0.02,#354049,0.01,#3c4751,0.0,#4b483f,0.0,#473f37,0.0,#7a7e8e
15,0.63,#191b16,0.28,#9ba4ae,0.04,#5c5f65,0.02,#333e47,0.01,#727c8f,0.01,#3e4a53,0.01,#808e9f,0.0,#494036
16,0.24,#aabec1,0.21,#333243,0.18,#656e81,0.15,#7287a0,0.1,#3b466a,0.08,#8ba3b3,0.03,#4b5f83,0.01,#3f73a0
17,0.25,#a8bcc0,0.24,#666f80,0.16,#7186a0,0.14,#2e2e3e,0.12,#3c476a,0.06,#8aa3b3,0.02,#4c6284,0.01,#555564
18,0.28,#666f7f,0.25,#aabdc0,0.13,#7389a2,0.12,#2f3040,0.11,#3e496d,0.06,#8aa4b3,0.04,#4b6285,0.01,#555665
19,0.9,#130f12,0.07,#bfbaba,0.02,#6b5b6b,0.01,#443f50,0.0,#594556,0.0,#887790,0.0,#4b4f5d,0.0,#5c3e3e
20,0.82,#151214,0.14,#c2bcba,0.02,#665b6d,0.01,#3f3f50,0.01,#574555,0.0,#827590,0.0,#9d869b,0.0,#583c3f
21,0.96,#120e10,0.02,#bfbabb,0.01,#675c6c,0.0,#8c8499,0.0,#454354,0.0,#5c4241,0.0,#624658,0.0,#4c5360
22,0.94,#120e10,0.04,#beb9ba,0.01,#625a6a,0.0,#3d3e50,0.0,#837a92,0.0,#523c3d,0.0,#444b59,0.0,#9d7177
23,0.29,#5d6879,0.27,#7f8ea4,0.21,#67829f,0.13,#2e2d3d,0.03,#787d86,0.03,#567496,0.02,#6c7a86,0.02,#3a3f56
24,0.31,#606b7b,0.23,#6d85a1,0.19,#8191a6,0.13,#313143,0.06,#5c7998,0.03,#3e445a,0.03,#42536a,0.02,#7d8289
25,0.31,#5d6878,0.24,#7c8da2,0.18,#69839f,0.11,#2d2d3e,0.09,#5e7896,0.03,#3a3f55,0.02,#757883,0.02,#3d4f65
