pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
0,0.45,#a4813f,0.17,#cbddc4,0.1,#d5ba72,0.09,#c7a359,0.08,#c19447,0.05,#b29756,0.03,#886229,0.02,#996a28
1,0.43,#a07e3c,0.17,#cbdec4,0.12,#bd9042,0.1,#c4a056,0.09,#d2b76f,0.05,#ad9251,0.03,#916224,0.01,#784614
2,0.42,#9f7c3b,0.17,#cbdec4,0.17,#bb8d40,0.1,#c39e55,0.09,#d1b46a,0.03,#aa9050,0.02,#8e5c1e,0.01,#6f4013
3,0.41,#a1803f,0.16,#cbdec5,0.15,#bd9043,0.11,#956b2b,0.1,#c8a359,0.03,#d2b66e,0.02,#ac9354,0.01,#825c24
4,0.57,#9e7e3e,0.16,#cbdec5,0.08,#bd9044,0.07,#c59f55,0.03,#ac9152,0.03,#805923,0.03,#936324,0.02,#cfb36e
5,0.57,#9a7a3d,0.16,#cbdec7,0.09,#b68c44,0.06,#945c2a,0.06,#c19d58,0.02,#ceb16d,0.02,#a99052,0.01,#b03e25
6,0.63,#97773a,0.17,#cadec8,0.08,#b58b43,0.04,#bd9955,0.03,#c9ab69,0.03,#b5201c,0.02,#a88e52,0.01,#904c21
7,0.58,#957539,0.18,#c9dec9,0.12,#ae843e,0.07,#b49452,0.03,#b3251e,0.02,#c8ac6c,0.01,#7c4d1a,0.0,#a1884e
8,0.64,#957539,0.18,#c8decb,0.07,#b48942,0.04,#ba9753,0.02,#b5211d,0.02,#a68c4f,0.02,#c7ab6b,0.01,#8d4b20
9,0.62,#98783c,0.18,#c8decc,0.09,#836530,0.06,#bc9148,0.02,#b71c1b,0.02,#c8ae70,0.01,#c09c5a,0.01,#af3725
10,0.59,#9d7c3d,0.18,#c8dfcb,0.1,#82642f,0.06,#bc9249,0.02,#c7ab68,0.02,#b71c1c,0.02,#be9c58,0.01,#b13223
11,0.6,#9f7e3f,0.19,#c8decc,0.12,#b9924a,0.04,#c6a965,0.02,#bd9c58,0.02,#b61f1d,0.01,#7f5d28,0.01,#774a1b
12,0.63,#9a793c,0.18,#c7decd,0.12,#b88d44,0.02,#b6261f,0.02,#c9ad6a,0.02,#bf9b59,0.01,#884f1e,0.0,#6f4317
13,0.59,#9b7b3d,0.17,#c5dfd0,0.13,#ba8f44,0.04,#8f5e24,0.03,#c4a059,0.02,#b64027,0.01,#795221,0.01,#c9b57b
14,0.52,#9c7b3c,0.2,#b78a41,0.18,#c2dfd4,0.05,#8b5b21,0.04,#c39f56,0.01,#6d3f14,0.0,#c8b47a,0.0,#af622f
